gnsB
sulA
recN
c4435
dinI
c2757
c1431
gabP
recA
ECs5456
speB
gnd
yebG
c1464
Z2071
pta
narK
yigN
yfcB
dinG
ECs2230
nrdA
Z5883
fabF
yebF
hypE
sbmC
c2484
sdaC
uvrB
napD
ECs2526
ECs2890
tdcC
umuD
sdhA
rpsU
ygaM
ruvA
psrD
yeeA
ECs0818
rfbB
Z4316
acnB
Z1785
prsA
rimM
c4578
c4090
ycfC
moeA
fabH
pepN
yfeX
gatZ
Z0341
yfbB
c5455
Z1655
focA_2
c4069
glmY
nikA
rpsP
lolB
ECs3003
yecH
c1602
yceD
rfbD
accD
nrdB
rplT
Z1887
napF
c0864
yeeN
hypD
yeaE
Z1370
nuoF
glnP
sdaB
tyrS
ydjQ
c4084
pepP
yacK
c2047
mnmA
plsX
c1465
bioD
c5221
agp
c2839
yfcE
hemA
hslV
nikC
Z5331
ybjN
purB
tsx
c1040
c4088
thrS
rfbC
ycfF
maeB
tdh
Z1373
mltD
yceO
ECs1593
Z3101
nupC
nfo
ygaW
Z2789
yoaA
c4519
c3654
ydhD
Z4325
btuB
Z1365
c4067
ntpA
appY
uxuB
Z4184
ybaM
dfrA1
asnC
Z0953
c4086
rhaA
dcp
c3818
c0018
nuoG
hypC
c3139
c3668
yjjW
argS
wbbJ
yeaF
ackA
wzxB
c0426
hrpB
bglA
ispA
Z6035
c1513
Z4313
Z2042
yqgB
hrpA
tig
fis
htpG
c4081
trmD
c1883
ECs1173
uidR
wbbI
prfB
topB
prmB
yeaZ
Z1428
c4310
c1516
Z3938
ybiB
c3596
Z3074
polB
rpiR
glf
ECs2971
mrcB
Z0979
prc
recR
pspD
c1267
ompC
ydiU
mukF
dnaX
gyrA
fabG
c4115
c4015
c2455
Z3289
ycfQ
rnt
ndh
aroC
ECs1125
c4977
gabT
moeB
grpE
ribA
ECs1375
mepA
ychS
fldA
infA
potG
prfA
c1234
fabI
ybiK
uxuA
ftsK
c2535
Z5027
Z2393
moaA
yoaB
pbpG
c4064
c2225
fumC
c0797
zwf
c3545
mutL
metG
greA
trxB
menD
purR
yedD
Z2972
gapC
pheS
rimK
ghoT
pepD
Z6064
fabD
ECs4958
c2510
c2525
ybbN
slyA
c4780
c1418
ycfL
c2723
fdnG
priC
c0260
pdxH
nusB
rpmF
yfcA
ymfE
c2964
sdaA
deaD
gatD
galE
rpmI
ECs5531
ipk
dinP
dnaJ
cspA
yehD
kpsE
c3339
lolA
yleA
truA
waaD
napG
ECs0272
c4576
cysM
mltB
groES
rpmA
rsuA
pspE
ybdQ
Z6071
valS
dppD
Z2122
ydbJ
glyA
glnS
c0291
c0133
smtA
c4894
rpsI
ECs5426
ydhC
xthA
Z5139
menC
proQ
aspS
folD
usg
c4113
Z1543
c2398
rplM
ECs1234
ECs1528
Z2257
ECs1320
c4521
cutC
ychF
ECs2200
c4571
c1201
deoD
cysU
ECs2765
fabA
ychA
secA
nlpB
c1220
udk
ispD
c2885
yjdK
c2207
c1185
tmk
c1094
pdxB
ruvB
ffh
fucI
lexA
hypF
Z5339
ECs2758
c3575
Z4802
ECs1962
c3363
papX
c0778
rpsJ
dedA
ybfE
Z5488
nikD
ECs1588
mreB
umuC
lysS
yfbV
cmk
bglX
yajC
c0272
yfcD
pspA
ccmA
panB
manA
Z3081
c2442
Z6062
xseB
c1112
c2020
mrp
narH
hscA
hflX
ycaJ
ycaO
mdoG
c4059
c1514
yccM
Z1447
Z1602
glnQ
yebK
dppC
hscB
ybiS
c0325
ydiD
ECs3783
Z0974
ECs4970
Z3342
trpH
narL
ppsA
Z3719
Z2357
ECs5415
gltX
kdsA
pgsA
mlc
rpsT
nrdR
dacA
ydaL
ldhA
rfbA
dnaA
pheP
ycjX
Z1640
Z1914
holC
wbbK
purU
sodC
Z4405
c0973
osmC
mdaA
rlpB
yfhO
c4078
ybeD
yhiV
ECs3509
ECs5364
pheT
yfaE
rpmC
ygaD
c0552
rplD
napH
dnaK
Z1554
Z2969
Z2542
intT
c3616
Z4330
c1363
ECs4536
c3581
lepA
ydjE
c3819
c1594
c1091
yacA
marR
rpmH
ECs2772
c5384
Z0388
obgE
rpoH
Z0248
yfgB
rplI
ybhE
sms
dapA
ydbL
c5161
Z1628
hybD
yncB
yqiA
c1959
c1462
Z4065
c3401
c1572
pepE
ruvC
Z0990
seqA
ycdZ
c3054
pncB
yjgB
c5147
c4985
livG
c0254
adk
c3055
parE
ybbB
malX
c5171
Z2057
c2985
waaY
c3685
recJ
tehB
pdxY
ribD
paaX
nudF
macB
fhlA
sohB
ydfM
menE
c3653
ECs5400
Z6041
c0391
Z1629m
yfhP
rpsO
moaE
glnH
eda
cydD
yjjI
Z1625
c1524
kdtA
yciO
rrmJ
ybgF
c3770
c0897
ECs3854
yciS
ECs1569
yqaA
yciL
tolR
secD
ydiH
yrfH
ydfG
Z3098
wzzB
rplQ
ECs2202
c2439
c0288
Z5138
Z3311
ECs1575
yicI
lpxD
c3487
pflA
yfhQ
ycfM
rnhB
yjcX
rnfD
gloA
Z4883
ECs4946
yiiE
dcd
ccmD
dsbB
ubiF
c0307
yccV
osmB
c1601
ygiA
c3162
c1541
hemL
pspC
ogrK
c2021
yohI
Z2086
Z0321
ydgH
c0807
oppB
c1650
wbdN
c3786
c1266
fadL
pitA
wbbH
ydbK
ybeZ
Z5102
napA
Z5128
c3632
tatE
chuT
c2521
ECs4956
secE
ydhF
c5166
ECs1585
Z0966
cysP
c3205
c4532
rplB
c4542
c5216
yibN
ydgJ
ECs0240
ymfD
rnpA
c1980
rpsK
hisB
c3702
c4486
c1486
ECs5413
yjeS
Z0402
nadR
Z1636
Z2385
ksgA
slyD
marA
c0590
Z5114
ECs2983
add
ybaB
ECs2995
c4738
ECs5374
rseB
Z5118
c1695
c1249
c0396
tnaB
Z1576
yeiI
c4222
Z1088
c4561
Z1808
yjiK
Z3123
paaY
yigU
yejK
cdd
fucK
ptsG
ECs1312
ybeX
cysS
Z6042
c1939
c3158
Z0251
ECs1167
fumA
ECs2182
c4525
Z2384
atpE
ycdX
c0205
ydfH
Z1609
c0397
pepT
Z2259
c3336
Z3621
mdaB
guaA
mltA
yciT
c1518
yigL
c1891
nadE
uvrA
c2114
c5198
papE
yiiF
xerC
ybiT
anmK
dsbC
pspB
fabZ
rpsB
ynaI
bcr
rplC
galT
pykA
rydB
Z3943
Z1774
intP_1
ECs1983
c0956
Z1490
apt
pgm
ydgK
ECs2196
mukE
c5060
ppiB
Z1290
Z2337
kdpD
c1549
c2564
Z3118
ybcM
c0823
ygfX
cysK
atpF
c2837
apaG
Z3620
ECs1357
c2458
c1458
ybfA
hlyC
c4540
c3577
hepA
c5477
dsrB
topA
spy
pyrL
c1470
Z3372
nusG
ydhQ
yehT
