Gene.symbol,logFC
rna,0.495
yoaE,0.495
rep,0.495
Z0330,0.495
c1102,0.495
evgS,0.495
c3615,0.495
ygfA,0.495
uvrD,0.495
c4758,0.495
hisD,0.495
ECs4953,0.495
Z1624,0.495
c5304,0.495
c2392,0.495
c2523,0.495
c3161,0.495
Z0886,0.495
Z1493,0.495
focD,0.495
yecO,0.49
pdxA,0.49
c2257,0.49
hisS,0.49
galK,0.49
c1416,0.49
tsf,0.49
Z2971,0.49
araF,0.49
phoB,0.49
yfhG,0.49
cycA,0.49
rumA,0.49
melA,0.49
purL,0.49
c2493,0.49
sppA,0.49
Z5884,0.49
modB,0.49
yheT,0.49
nhoA,0.49
Z4220,0.49
lldD,0.49
Z0608,0.49
c4760,0.49
Z4188,0.49
c3133,0.49
ECs3503,0.49
c1501,0.49
Z3940,0.49
c1483,0.49
Z1491,0.49
Z1486,0.49
potC,0.485
yjjA,0.485
thrB,0.485
yjaG,0.485
ypfH,0.485
fadR,0.485
yejM,0.485
c1892,0.485
ptsH,0.485
c2558,0.485
Z3373,0.485
yfcZ,0.485
Z3600,0.485
c2513,0.485
Z6069,0.485
Z3120,0.485
phnK,0.485
c0651,0.485
mgsA,0.48
potB,0.48
ECs5365,0.48
mltE,0.48
potD,0.48
ycgL,0.48
corA,0.48
c4547,0.48
rlpA,0.48
Z1457,0.48
c3790,0.48
Z2053,0.48
Z2562,0.48
mraW,0.48
c1235,0.48
Z2281,0.48
ECs5591,0.48
ybcN,0.48
c5372,0.48
Z0255,0.48
Z0975,0.48
sdhB,0.48
ybiC,0.48
ECs4992,0.48
yoaH,0.475
ychK,0.475
Z2301,0.475
c3767,0.475
ccmB,0.475
pabC,0.475
yobG,0.475
yqaB,0.475
yfjD,0.475
c2475,0.475
Z1046m,0.475
cobB,0.475
Z4192,0.475
c4431,0.475
yabP,0.475
c5137,0.475
ycgO,0.475
cmtA,0.475
Z4199,0.475
Z3105,0.475
Z2508,0.475
ECs4955,0.475
Z4333,0.475
c2428,0.475
c2410,0.475
c1481,0.475
yjfG,0.475
yddM,0.475
tyrR,0.475
Z1460,0.475
c3601,0.475
c1410,0.475
c1526,0.475
entF,0.475
c3655,0.475
yniC,0.47
efp,0.47
trpB,0.47
rimI,0.47
hflK,0.47
c1605,0.47
yacF,0.47
rbfA,0.47
ECs5542,0.47
c5199,0.47
Z1566,0.47
c1292,0.47
ECs1560,0.47
c3587,0.47
yeaJ,0.47
ftrA,0.47
c4488,0.47
Z2099,0.47
sdhC,0.47
c1567,0.47
ilvY,0.47
Z5337,0.47
Z1580,0.47
Z5491,0.47
Z3328,0.47
acpP,0.465
rpmD,0.465
pyrD,0.465
Z2241,0.465
imp,0.465
lpxK,0.465
glmU,0.465
ygiC,0.465
gph,0.465
Z1545,0.465
yqiB,0.465
ptsA,0.465
guaC,0.465
Z1652,0.465
paaC,0.465
Z2400,0.465
yneF,0.465
c2399,0.465
mutS,0.465
sbcD,0.465
murD,0.465
c2413,0.465
Z3087,0.465
c1421,0.465
c1246,0.465
ECs4954,0.465
c0977,0.465
Z1867,0.465
c0174,0.465
Z1843,0.465
c3561,0.465
yhgF,0.465
Z2076,0.46
oppF,0.46
uvrY,0.46
ycbP,0.46
c3556,0.46
ECs5581,0.46
c5208,0.46
yahA,0.46
menF,0.46
ydjZ,0.46
gshA,0.46
ydcL,0.46
terB_2,0.46
c4775,0.46
c4007,0.46
ynbC,0.46
Z2398,0.46
yobF,0.46
psuI,0.46
Z1453,0.46
Z6036,0.46
ECs4960,0.46
ddl,0.455
ptsP,0.455
Z0640,0.455
ECs5592,0.455
fusA,0.455
Z4090,0.455
rdgC,0.455
c1547,0.455
ydfZ,0.455
hslU,0.455
nfnB,0.455
Z1426,0.455
Z4187,0.455
ybdO,0.455
acnA,0.455
ypfI,0.455
exoU,0.455
Z0985,0.455
c2483,0.455
Z6074,0.455
c1460,0.455
ECs5380,0.455
c1425,0.455
c0723,0.455
c1957,0.455
c1498,0.455
Z2227,0.455
c0936,0.455
ECs2180,0.455
rhaD,0.455
gpmM,0.455
Z3362,0.455
Z1551,0.455
fucU,0.45
csiE,0.45
insH1,0.45
c2023,0.45
msbB,0.45
c1886,0.45
c0526,0.45
yhgI,0.45
ybjT,0.45
c4518,0.45
lnt,0.45
c0256,0.45
mhpF,0.45
c5382,0.45
papH,0.45
Z5618,0.45
araB,0.45
c4423,0.45
Z2985,0.45
ybaL,0.45
pykF,0.45
malZ,0.45
gltD,0.45
Z3082,0.45
pgtB,0.45
yedI,0.445
Z1097,0.445
ycfP,0.445
yfhA,0.445
mazG,0.445
ftsA,0.445
c1690,0.445
sapD,0.445
yhbN,0.445
paaH,0.445
rhlB,0.445
yeeE,0.445
yeaB,0.445
yadB,0.445
c2924,0.445
Z0250,0.445
yegI,0.445
ypjA,0.445
iroD,0.445
yrbI,0.44
serB,0.44
cohE,0.44
Z3496,0.44
gpsA,0.44
yrbD,0.44
c3386,0.44
yddG,0.44
lomR,0.44
Z4875,0.44
nhaR,0.44
c4759,0.44
betI,0.44
Z3531,0.44
prpR,0.44
mchD,0.44
treC,0.44
c4560,0.44
yfaL,0.44
ybbO,0.435
ycfD,0.435
atpB,0.435
yjeQ,0.435
c4756,0.435
feaB,0.435
panC,0.435
grxB,0.435
psd,0.435
lrp,0.435
dsbA,0.435
c1543,0.435
c2467,0.435
Z5113,0.435
c2418,0.435
Z4177,0.435
fruB,0.435
Z2851,0.435
glgP,0.435
malS,0.435
Z4888,0.435
c1171,0.435
c0349,0.435
yfiE,0.435
dut,0.43
zraS,0.43
lipA,0.43
nlpC,0.43
dcm,0.43
narP,0.43
ubiH,0.43
c0394,0.43
c4661,0.43
moaC,0.43
c2466,0.43
c3972,0.43
deoB,0.43
c3136,0.43
ispF,0.43
cca,0.43
Z6017,0.43
Z1430,0.43
nrfE,0.43
c0368,0.43
Z2094,0.43
ECs2962,0.43
c0953,0.43
aroB,0.425
ylaC,0.425
lit,0.425
hslJ,0.425
yebY,0.425
sapF,0.425
eco,0.425
ansA,0.425
Z0887,0.425
Z2120,0.425
yjbJ,0.425
Z4327,0.425
c4569,0.425
Z1768,0.425
yhaM,0.425
yciA,0.425
Z4338,0.425
c2504,0.425
yhgE,0.425
molR_A,0.425
Z0976,0.425
poxB,0.425
Z0956,0.425
fhuB,0.425
Z3782,0.425
Z5220,0.425
Z1492,0.425
ybcL,0.42
c3714,0.42
truD,0.42
yeiG,0.42
ybbU,0.42
tatA,0.42
rplO,0.42
yabB,0.42
c4982,0.42
frsA,0.42
quuQ,0.42
yrbE,0.42
fur,0.42
tesB,0.42
c5058,0.42
accC,0.42
sapB,0.42
uhpA,0.42
gyrB,0.42
ECs5580,0.42
uxaB,0.42
Z5136,0.42
Z3026,0.42
escU,0.42
tktA,0.42
c2396,0.42
Z0246,0.42
Z1446,0.42
c3641,0.42
flgI,0.42
Z0314,0.42
Z3624,0.42
yqjE,0.415
nhaA,0.415
c0503,0.415
c5212,0.415
c2559,0.415
rseC,0.415
yafK,0.415
Z3937,0.415
sun,0.415
pqiB,0.415
c3199,0.415
c3303,0.415
c3638,0.415
argD,0.415
c1540,0.415
flk,0.415
Z0955,0.415
Z3596,0.415
c2068,0.415
mchC,0.415
lhr,0.415
Z1662,0.415
yibO,0.415
sdhD,0.415
c0758,0.415
eaeH,0.415
ECs5377,0.415
c1415,0.41
nagB,0.41
ycdT,0.41
hlyA,0.41
yccW,0.41
cybC,0.41
mdoB,0.41
murC,0.41
Z5163,0.41
c0062,0.41
pheA,0.41
Z2382,0.41
Z4250,0.41
c1660,0.41
nth,0.41
ygeW,0.41
Z6026,0.41
c3459,0.41
c4398,0.41
c0077,0.41
erm(A),0.41
Z1648,0.41
c2500,0.41
c3404,0.41
Z0879,0.41
cobT,0.41
artI,0.41
infB,0.405
queF,0.405
Z1621,0.405
yccF,0.405
ECs1183,0.405
c4839,0.405
waaP,0.405
Z3127,0.405
Z3973,0.405
yohD,0.405
rcsB,0.405
Z0634,0.405
yegV,0.405
ymgB,0.405
c2814,0.405
ycgJ,0.405
xasA,0.405
Z0324,0.405
c1882,0.405
c4617,0.405
Z2989,0.405
narV,0.405
c4771,0.405
yjiZ,0.405
Z3107,0.405
c3468,0.405
yciR,0.405
oxyR,0.4
c0550,0.4
c4831,0.4
lgt,0.4
ydhA,0.4
yjeE,0.4
yjjG,0.4
ybbA,0.4
yigB,0.4
ydbC,0.4
yjgD,0.4
alkA,0.4
ycbX,0.4
yhjX,0.4
stx1A,0.4
Z4267,0.4
c3272,0.4
glnA,0.4
ybjK,0.4
eae,0.4
Z1608,0.4
ECs0801,0.4
mnmC,0.4
c1184,0.4
c0088,0.4
marB,0.4
yohN,0.395
psiF,0.395
ypfJ,0.395
aspC,0.395
dnaE,0.395
ybhC,0.395
ymfI,0.395
c2543,0.395
Z0274,0.395
yqcA,0.395
ogt,0.395
ydcJ,0.395
pgpA,0.395
yhbE,0.395
yciI,0.395
Z3947,0.395
paaZ,0.395
gatR,0.395
fxsA,0.395
c3172,0.395
yaaJ,0.395
ECs1537,0.395
Z1601,0.395
Z1796,0.395
c0026,0.395
astD,0.395
Z1848,0.395
c4013,0.395
tesA,0.39
rplX,0.39
c0257,0.39
yaeL,0.39
exbB,0.39
Z3306,0.39
ECs2215,0.39
c5209,0.39
ucpA,0.39
Z4321,0.39
frvX,0.39
c1198,0.39
srlR,0.39
gutQ,0.39
c4283,0.39
c1173,0.39
Z0362,0.39
cyaA,0.39
c3634,0.39
rne,0.39
stx2B,0.39
c3243,0.39
Z2075,0.39
Z1539,0.39
rplN,0.385
Z4787,0.385
lspA,0.385
glnE,0.385
gtrA,0.385
yffR,0.385
tff,0.385
Z1442,0.385
pepA,0.385
yecC,0.385
macA,0.385
ECs1218,0.385
ygfY,0.385
yhcC,0.385
c0364,0.385
ydcN,0.385
c3674,0.385
Z1018,0.385
c0460,0.385
gcl,0.385
cysE,0.385
yeiH,0.385
recF,0.385
c1880,0.385
Z4180,0.385
Z1577,0.385
c2145,0.385
yhjW,0.385
c5375,0.385
Z0254,0.385
c2566,0.385
c4776,0.385
c3165,0.385
Z0583,0.385
Z5143,0.385
Z4965,0.385
ECs0301,0.385
c3662,0.385
smg,0.385
brnQ,0.38
gcvR,0.38
yajK,0.38
sodA,0.38
papG,0.38
eutC,0.38
sufA,0.38
Z2399,0.38
ydhI,0.38
c5421,0.38
c1217,0.38
c3659,0.38
ydiY,0.38
pabB,0.38
Z1096,0.38
paaB,0.38
Z2386,0.38
c2348,0.38
ygaA,0.38
rfaI,0.38
sbcC,0.38
papF,0.38
c1439,0.38
c2429,0.38
c1192,0.38
c2220,0.38
c0961,0.38
c5302,0.38
paaG,0.375
aroG,0.375
rplF,0.375
ypdA,0.375
ycdY,0.375
htrB,0.375
Z3939,0.375
cspE,0.375
hisF,0.375
sokB,0.375
ygeV,0.375
c4550,0.375
c3604,0.375
yciH,0.375
c5057,0.375
c4663,0.375
ybdH,0.375
lepB,0.375
yceG,0.375
c1649,0.375
nanT,0.375
perM,0.375
minC,0.375
ybjM,0.375
sucB,0.375
Z0989,0.375
Z1920,0.375
c0960,0.375
Z3073,0.375
c3403,0.375
ugpC,0.375
c2498,0.375
Z4322,0.375
dksA,0.37
ubiE,0.37
ftsL,0.37
sseB,0.37
ydcF,0.37
Z0258,0.37
c4896,0.37
ymgA,0.37
murB,0.37
yneG,0.37
nadD,0.37
celA,0.37
c3680,0.37
c1461,0.37
ECs1365,0.37
Z1620,0.37
ECs0143,0.37
c2436,0.37
Z6025,0.37
Z1800,0.37
Z4093,0.37
Z2049,0.37
yrfC,0.37
yghQ,0.37
c1502,0.37
Z4968m,0.37
ybjR,0.365
yfbS,0.365
yeeF,0.365
yciU,0.365
c2502,0.365
znuC,0.365
selB,0.365
ybiA,0.365
c2473,0.365
c3794,0.365
pgpB,0.365
yadP,0.365
purM,0.365
c3578,0.365
yeaQ,0.365
intR,0.365
Z5089,0.365
nuoH,0.365
Z4331,0.365
ydjF,0.365
sapC,0.365
engA,0.365
c5371,0.365
c1200,0.365
baeR,0.365
Z4194,0.365
c0417,0.365
panF,0.365
c3388,0.365
c0311,0.365
c3631,0.36
ybfF,0.36
fmt,0.36
tonB,0.36
c3957,0.36
ECs3510,0.36
hisJ,0.36
yecN,0.36
glyQ,0.36
emrE,0.36
ybaU,0.36
Z3270,0.36
Z1623,0.36
ECs1168,0.36
yegN,0.36
yehQ,0.36
rhlE,0.36
hycH,0.36
c0392,0.36
waaV,0.36
c4837,0.36
c2499,0.36
Z2090,0.36
c1459,0.36
Z1537,0.36
mglA,0.36
ushA,0.36
ECs2799,0.36
yagU,0.36
c1454,0.36
c4829,0.36
c1488,0.36
yehB,0.36
c3408,0.36
Z0635,0.36
Z6019,0.36
c1575,0.36
Z0895,0.36
Z2092,0.36
yojN,0.355
btuD,0.355
ompX,0.355
c1138,0.355
c1430,0.355
c3719,0.355
hflC,0.355
c1617,0.355
c0970,0.355
ynjF,0.355
aroH,0.355
ECs3715,0.355
c1289,0.355
c2046,0.355
pheL,0.355
c2450,0.355
c3562,0.355
Z4852,0.355
Z3071,0.355
Z2312,0.355
xisP,0.355
c0078,0.355
c0367,0.355
c4492,0.355
c1414,0.355
Z4803,0.355
Z3100,0.355
rtcR,0.355
yfjG,0.355
Z1487,0.355
c5425,0.355
c4517,0.355
micF,0.355
Z0970,0.355
artP,0.35
mppA,0.35
hipB,0.35
mreD,0.35
miaA,0.35
yijD,0.35
zntA,0.35
rbsC,0.35
c0286,0.35
yhbS,0.35
tpx,0.35
Z5868,0.35
c2835,0.35
c1628,0.35
c0350,0.35
Z1359,0.35
oprR,0.35
ispG,0.35
ECs1315,0.35
smp,0.35
c3271,0.35
ycdO,0.35
ECs3383,0.35
Z1651,0.35
hlyB,0.35
Z1344,0.35
yejL,0.35
yphC,0.35
c0319,0.35
c5437,0.35
yabN,0.35
c3684,0.35
c5061,0.35
c0309,0.35
lolD,0.345
yraM,0.345
nagC,0.345
rhoL,0.345
apaH,0.345
isrC,0.345
yjgA,0.345
talC,0.345
endA,0.345
yncA,0.345
dnaB,0.345
oppD,0.345
ydeM,0.345
c4563,0.345
ycfR,0.345
c5379,0.345
speD,0.345
ECs1098,0.345
ECs1567,0.345
ptsI,0.345
Z3371,0.345
ECs1181,0.345
yeiE,0.345
espA,0.345
c3385,0.345
c2414,0.345
hycB,0.345
c4753,0.345
Z1775,0.345
c0281,0.345
c3890,0.345
glnD,0.345
c1763,0.345
ECs2166,0.345
maf,0.34
intF,0.34
ECs3507,0.34
yhbM,0.34
hemE,0.34
c2992,0.34
dxs,0.34
ybjD,0.34
c0978,0.34
yfiC,0.34
mchE,0.34
hypA,0.34
yrbF,0.34
c2147,0.34
c0941,0.34
c1527,0.34
c3683,0.34
focG,0.34
Z1840,0.34
aroF,0.34
ybcU,0.34
c2461,0.34
c0259,0.34
Z0078,0.34
c2397,0.34
Z4811,0.34
ihfB,0.34
escS,0.34
yieH,0.34
thiM,0.34
ygbE,0.34
ECs2963,0.34
Z2402,0.335
dapB,0.335
ptrB,0.335
alpA,0.335
coaE,0.335
tolC,0.335
Z0347,0.335
c4768,0.335
rarD,0.335
sprT,0.335
c0331,0.335
nikE,0.335
c1550,0.335
c3154,0.335
recE,0.335
Z2088,0.335
Z0024,0.335
sitB,0.335
yedJ,0.33
yccK,0.33
yajO,0.33
Z0984,0.33
queA,0.33
c2393,0.33
rluD,0.33
yjcO,0.33
ymfR,0.33
ssb,0.33
tas,0.33
metE,0.33
yjcW,0.33
yliC,0.33
Z2777,0.33
c3157,0.33
Z5095,0.33
c1593,0.33
c1170,0.33
alaS,0.33
yfdZ,0.33
c3606,0.33
Z0325,0.33
yohM,0.33
Z1335,0.33
Z0962,0.33
ycgR,0.33
Z0346,0.33
Z3119,0.33
ygiF,0.325
ygeR,0.325
kefB,0.325
c3470,0.325
Z3179,0.325
rplK,0.325
ybjQ,0.325
ydjM,0.325
frcK,0.325
c3661,0.325
c0583,0.325
ECs5481,0.325
yrbC,0.325
ynjA,0.325
c3841,0.325
c2524,0.325
Z0639,0.325
yjjU,0.325
Z4088,0.325
c3241,0.325
hydG,0.325
c5081,0.325
c1204,0.325
c3754,0.325
c3149,0.325
c0957,0.325
nlpA,0.325
Z1798,0.325
ECs2213,0.325
kdgK,0.32
ftsE,0.32
dfp,0.32
c2470,0.32
serS,0.32
hokB,0.32
c2412,0.32
ybhA,0.32
Z5225,0.32
c2918,0.32
c1403,0.32
ybgI,0.32
yihW,0.32
kdpA,0.32
c0283,0.32
c1445,0.32
c3275,0.32
c2427,0.32
Z1902,0.32
c5347,0.32
c1503,0.32
c4572,0.32
c5197,0.32
yhjL,0.32
gnsA,0.315
Z5889,0.315
Z5111,0.315
Z1645,0.315
ybdF,0.315
Z0263,0.315
yhdH,0.315
c5295,0.315
c5385,0.315
Z6010,0.315
Z4971,0.315
Z1467,0.315
ECs1775,0.315
putP,0.315
Z6030,0.315
Z0968,0.315
modC,0.31
Z5121,0.31
c1489,0.31
Z0021,0.31
talB,0.31
c5476,0.31
c2251,0.31
c0799,0.31
nanA,0.31
Z0896,0.31
Z4332,0.31
nrdG,0.31
c1491,0.31
yjjM,0.31
Z1649,0.31
Z3352,0.31
yiaO,0.31
c5022,0.31
aslB,0.31
yejH,0.31
Z3942,0.31
c4549,0.31
Z0707,0.31
c5172,0.31
ECs1334,0.31
bcp,0.305
c5165,0.305
rpsE,0.305
inaA,0.305
mviN,0.305
hdhA,0.305
parC,0.305
lpdA,0.305
rcsF,0.305
rfaC,0.305
putA,0.305
nuoE,0.305
c0909,0.305
c1214,0.305
c0366,0.305
ybbF,0.305
c1167,0.305
c2462,0.305
Z5898,0.305
c4570,0.305
c0338,0.305
c0233,0.305
trpD,0.305
c5297,0.305
Z2984,0.305
Z0965,0.305
yhjG,0.305
Z1501,0.305
yabO,0.3
otsB,0.3
nfrA,0.3
Z1595,0.3
c2415,0.3
yedQ,0.3
dinJ,0.3
Z0510,0.3
Z6048,0.3
Z1803,0.3
lipB,0.3
purN,0.3
rimL,0.3
escC,0.3
c4019,0.3
c4565,0.3
yebO,0.3
c0929,0.3
Z2387,0.3
escT,0.3
c2108,0.3
Z1846,0.3
c2165,0.3
Z4324,0.3
Z1797,0.3
Z4047,0.3
c0184,0.3
Z1334,0.3
c1261,0.3
syd,0.295
secF,0.295
pdhR,0.295
yadG,0.295
ybhF,0.295
Z1341,0.295
ECs5470,0.295
rplL,0.295
c1506,0.295
Z1503,0.295
c1258,0.295
Z1352,0.295
Z5214,0.295
c0269,0.295
yqfB,0.295
alsE,0.295
Z1019,0.295
Z4776,0.295
c1433,0.295
ygjD,0.295
ihfA,0.295
Z1857,0.295
c3642,0.295
Z2052,0.295
sat,0.295
Z1568,0.295
Z0268,0.295
c5175,0.295
gltP,0.295
yeaX,0.295
ECs1081,0.295
ECs5296,0.295
narI,0.295
c3736,0.295
nhaB,0.29
folE,0.29
lpxC,0.29
yojL,0.29
Z3090,0.29
Z1856,0.29
ECs1643,0.29
lrhA,0.29
c3925,0.29
ygaZ,0.29
c0265,0.29
kpsS,0.29
Z1098,0.29
c0497,0.29
Z2474m,0.29
ECs2212,0.29
Z0327,0.29
ybiL,0.29
iroE,0.29
Z4810,0.29
yjiE,0.29
c4010,0.29
Z1799,0.29
c0967,0.29
Z4326,0.29
c1209,0.29
yfeD,0.29
Z1781,0.29
gltS,0.29
c3155,0.29
Z4982,0.29
ygiV,0.29
c0761,0.29
Z0417,0.29
Z1924,0.29
Z2142,0.29
per,0.285
mrr,0.285
ribB,0.285
gor,0.285
yjfH,0.285
yaeQ,0.285
yadT,0.285
Z1332,0.285
yhcJ,0.285
ycfS,0.285
c4752,0.285
ECs2628,0.285
ynfJ,0.285
yhgG,0.285
ydjX,0.285
c3387,0.285
Z5691,0.285
yhcM,0.285
Z3594,0.285
ECs4566,0.285
c1910,0.285
Z3360,0.285
ECs2186,0.285
c4546,0.285
c4755,0.285
Z2967,0.285
ECs4971,0.285
Z3114,0.285
c4509,0.285
molR_C,0.285
c0759,0.285
Z1345,0.285
Z0971,0.285
ynbE,0.285
Z1588,0.285
Z1441,0.285
c0962,0.285
ypjD,0.28
ftsW,0.28
murF,0.28
ygfJ,0.28
Z4191,0.28
yadH,0.28
folX,0.28
ydbH,0.28
c3800,0.28
waaQ,0.28
gpt,0.28
Z2048,0.28
yfeC,0.28
c0263,0.28
yeeX,0.28
Z1517,0.28
Z2310,0.28
prlC,0.28
c5169,0.28
yaiH,0.28
chaB,0.28
torR,0.28
Z0855,0.28
ybdA,0.28
yfcO,0.28
Z5896,0.28
c3557,0.28
dld,0.28
c2896,0.28
prrA,0.28
c1468,0.28
Z1838,0.28
Z3206,0.28
yibP,0.28
ECs5446,0.28
aroD,0.275
ypeA,0.275
hemD,0.275
c5200,0.275
yaeM,0.275
damX,0.275
c5211,0.275
ECs4957,0.275
Z1482,0.275
pitB,0.275
tdcA,0.275
ECs4976,0.275
Z1575,0.275
c3694,0.275
hha,0.275
c1001,0.275
Z1434,0.275
c2424,0.275
afuB,0.275
c1528,0.275
c1937,0.275
c4209,0.275
c0413,0.27
ahpC,0.27
rpoZ,0.27
ydhB,0.27
c0444,0.27
c0469,0.27
yadF,0.27
blr,0.27
c5349,0.27
c5343,0.27
c3304,0.27
phoR,0.27
yfeY,0.27
Z4071,0.27
yhhY,0.27
torD,0.27
c1884,0.27
Z0702,0.27
c0294,0.27
ilvC,0.27
ECs4949,0.27
c4763,0.27
c2729,0.27
c1255,0.27
c5167,0.27
Z1466,0.27
Z3921,0.27
yffS,0.265
c0903,0.265
ybhQ,0.265
Z1875,0.265
slyX,0.265
ybjO,0.265
xisE,0.265
yaiI,0.265
Z0244,0.265
rfaG,0.265
yggL,0.265
ynhG,0.265
c0882,0.265
pntB,0.265
Z1540,0.265
ligB,0.265
yjcV,0.265
ECs1335,0.265
c2742,0.265
Z6029,0.265
c2431,0.265
c3181,0.265
c4487,0.265
Z4912,0.265
c2212,0.265
cesD,0.265
Z5522,0.265
c4424,0.265
c1762,0.265
Z0269,0.265
yegM,0.265
Z2561,0.265
ydiI,0.26
yahJ,0.26
otsA,0.26
ydiA,0.26
Z0959,0.26
yheN,0.26
Z6022,0.26
Z0247,0.26
rplR,0.26
fabB,0.26
aroA,0.26
c5426,0.26
ygcG,0.26
nfi,0.26
c3305,0.26
c1531,0.26
ECs1579,0.26
Z0243,0.26
c3695,0.26
amyA,0.26
waaO,0.26
ddg,0.26
Z1333,0.26
ompL,0.26
Z6011,0.26
ymfL,0.26
Z5160,0.26
c4895,0.26
c5215,0.26
yhaG,0.26
minD,0.26
aphA6,0.26
c3176,0.26
c3558,0.26
c5176,0.26
papC,0.26
ECs1336,0.26
Z3341,0.26
Z1578,0.255
mltC,0.255
rho,0.255
c2254,0.255
deoC,0.255
purF,0.255
Z5161,0.255
frr,0.255
yqjB,0.255
c0608,0.255
ydbA,0.255
c0810,0.255
Z1847,0.255
yegH,0.255
Z2087,0.255
Z1567,0.255
yaiZ,0.255
ygaG,0.255
yiiX,0.255
c3148,0.255
yeiS,0.255
ydhV,0.255
c1507,0.255
c2806,0.255
Z1574,0.255
Z3276,0.255
Z5428,0.255
Z5415,0.255
c3407,0.255
Z1495,0.255
Z3595,0.255
c4278,0.255
c2528,0.255
ycdW,0.25
yfeZ,0.25
adhP,0.25
tqsA,0.25
lomW,0.25
Z6070,0.25
c2375,0.25
c1576,0.25
yqjI,0.25
Z4398,0.25
ybiJ,0.25
smpB,0.25
flgD,0.25
yeaM,0.25
yceE,0.25
c0355,0.25
ECs5420,0.25
c5213,0.25
c0965,0.25
lldP,0.25
ECs1527,0.25
c4507,0.25
c3462,0.25
c2472,0.25
c1013,0.245
surA,0.245
yecD,0.245
yfhJ,0.245
yeaP,0.245
ascG,0.245
rpoC,0.245
ECs1556,0.245
gpmB,0.245
ECs1526,0.245
ECs0604,0.245
cysZ,0.245
bisZ,0.245
marC,0.245
mrdA,0.245
c0038,0.245
lolE,0.245
pgtP,0.245
c4375,0.245
wcaM,0.245
ycaI,0.245
c1615,0.245
tdk,0.245
c5194,0.245
c2437,0.245
ECs4865,0.245
Z1579,0.245
c2486,0.245
c3151,0.245
c1165,0.245
c1592,0.245
c0036,0.245
c4987,0.245
rhsC,0.245
c0285,0.245
c3976,0.245
tdcG,0.245
rplY,0.24
Z5199,0.24
c3772,0.24
mmuM,0.24
ECs1185,0.24
Z0892,0.24
ydgQ,0.24
murI,0.24
ECs5399,0.24
ung,0.24
iraD,0.24
yhcH,0.24
minE,0.24
ybgE,0.24
c3381,0.24
c3753,0.24
Z4181,0.24
sibB,0.24
Z2986,0.24
fliD,0.24
c1260,0.24
ytfN,0.24
c0314,0.24
Z2095,0.24
argH,0.24
ECs4978,0.24
ECs2263,0.24
c2402,0.24
c3150,0.24
Z5212,0.24
c4514,0.24
c4545,0.24
c1494,0.24
c4495,0.24
tuf,0.235
ycgC,0.235
ypdB,0.235
cysB,0.235
puuD,0.235
c3749,0.235
Z1340,0.235
mhpE,0.235
thyA,0.235
slp,0.235
Z2196,0.235
ECs3012,0.235
ECs4659,0.235
c3270,0.235
c1673,0.235
pgk,0.235
yajD,0.235
Z3929,0.235
c1862,0.235
copA,0.235
c1420,0.235
c5374,0.235
c1236,0.235
c4353,0.235
Z0418,0.235
Z1641,0.235
c3396,0.235
malT,0.23
arcB,0.23
ECs3512,0.23
mutY,0.23
ECs5464,0.23
Z0020,0.23
gmk,0.23
c5029,0.23
ychE,0.23
nei,0.23
nuoK,0.23
c1915,0.23
ydjY,0.23
Z1420,0.23
Z4092,0.23
msyB,0.23
c3599,0.23
Z2557,0.23
Z3269,0.23
sanA,0.23
Z1777,0.23
yggE,0.23
yfgJ,0.23
c3064,0.23
Z2084,0.23
c4924,0.23
yqiK,0.23
yhbW,0.23
thrL,0.23
exuT,0.23
c4211,0.23
phnC,0.23
c0974,0.23
yphG,0.23
ybaC,0.225
rpoB,0.225
Z3135,0.225
selA,0.225
Z2060,0.225
mviM,0.225
Z4801,0.225
c1819,0.225
dkgB,0.225
yigA,0.225
c4938,0.225
rbsA,0.225
Z6065,0.225
c0059,0.225
c0337,0.225
c5155,0.225
yhjJ,0.225
c2449,0.225
Z0284,0.225
lplA,0.225
c2670,0.225
yaeG,0.225
ECs2802,0.225
Z0261,0.225
yfcN,0.225
c3564,0.225
terC_2,0.225
Z1607,0.225
ECs1406,0.225
sfaD,0.225
ybgQ,0.225
c4303,0.225
Z5335,0.225
c4537,0.225
appB,0.22
yceA,0.22
yeiB,0.22
helD,0.22
Z1593,0.22
nuoJ,0.22
celD,0.22
proY,0.22
ryfA,0.22
ECs5465,0.22
ygiE,0.22
actP,0.22
hfq,0.22
c0409,0.22
paaA,0.22
Z4068,0.22
Z1776,0.22
c3567,0.22
yqgF,0.22
vgrE,0.22
c4559,0.22
gsp,0.22
fepG,0.22
Z2787,0.22
c0976,0.22
abrB,0.22
c4543,0.22
yceK,0.22
ydfD,0.22
c1264,0.22
c2451,0.22
c5433,0.22
yegU,0.22
yjcU,0.22
phnM,0.22
Z1918,0.22
purC,0.215
pcm,0.215
Z2392,0.215
Z5935,0.215
nuoL,0.215
yaiW,0.215
Z5088,0.215
Z1923,0.215
Z1448,0.215
c2516,0.215
ECs1529,0.215
c1545,0.215
c3820,0.215
ECs5292,0.215
ydcE,0.215
yqjA,0.215
fdhF,0.215
c1652,0.215
ECs0805,0.215
Z0947,0.215
Z0317,0.215
sfaC,0.215
ycjJ,0.215
ynjB,0.215
aqpZ,0.215
Z6038,0.215
ECs5247,0.215
ymbA,0.215
tam,0.215
yfbG,0.215
Z3950,0.215
fepA,0.215
ECs4986,0.215
bcsA,0.215
mglC,0.215
c0950,0.215
