gnsB
sulA
recN
c4435
dinI
c2757
c1431
gabP
recA
ECs5456
speB
gnd
yebG
c1464
Z2071
pta
narK
yigN
yfcB
dinG
ECs2230
nrdA
fabF
yebF
hypE
sbmC
sdaC
uvrB
napD
ECs2526
ECs2890
tdcC
umuD
sdhA
rpsU
ruvA
psrD
yeeA
ECs0818
rfbB
Z4316
acnB
prsA
rimM
c4578
c4090
ycfC
moeA
fabH
pepN
yfeX
gatZ
Z0341
yfbB
c5455
Z1655
focA_2
c4069
glmY
nikA
rpsP
lolB
ECs3003
yecH
yceD
rfbD
accD
nrdB
rplT
Z1887
napF
c0864
yeeN
hypD
yeaE
Z1370
nuoF
glnP
sdaB
tyrS
ydjQ
c4084
pepP
yacK
c2047
mnmA
plsX
c1465
bioD
c5221
agp
c2839
yfcE
hemA
hslV
nikC
Z5331
ybjN
purB
tsx
c1040
c4088
thrS
rfbC
ycfF
maeB
tdh
Z1373
mltD
yceO
Z3101
nupC
nfo
ygaW
Z2789
yoaA
c4519
ydhD
Z4325
btuB
c4067
ntpA
appY
uxuB
Z4184
ybaM
dfrA1
asnC
Z0953
c4086
dcp
c3818
c0018
nuoG
hypC
c3139
c3668
yjjW
wbbJ
yeaF
ackA
wzxB
hrpB
bglA
ispA
Z6035
c1513
Z4313
yqgB
hrpA
tig
fis
htpG
c4081
trmD
c1883
uidR
wbbI
prfB
topB
prmB
yeaZ
Z1428
c4310
c1516
Z3938
ybiB
polB
rpiR
glf
ECs2971
mrcB
Z0979
prc
recR
pspD
c1267
ydiU
mukF
dnaX
gyrA
fabG
c4115
c4015
c2455
Z3289
ycfQ
rnt
ndh
aroC
ECs1125
c4977
grpE
ribA
ECs1375
mepA
fldA
infA
potG
prfA
c1234
fabI
ybiK
uxuA
ftsK
c2535
Z5027
moaA
yoaB
pbpG
c4064
c2225
fumC
c0797
zwf
c3545
mutL
greA
trxB
menD
purR
yedD
Z2972
gapC
pheS
rimK
ghoT
pepD
Z6064
fabD
ECs4958
c2510
ybbN
slyA
c4780
c1418
ycfL
c2723
fdnG
priC
c0260
